"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 13 15:13:28 GMT 2025","Mon Oct 13 15:13:28 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Mon Oct 13 15:13:20 GMT 2025","Mon Oct 13 15:13:20 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Mon Oct 13 15:13:15 GMT 2025","Mon Oct 13 15:13:17 GMT 2025","2344","LMS system","Authentication","Authorization","","","Attempt to login with email:   ",""
"passed","Mon Oct 13 15:13:17 GMT 2025","Mon Oct 13 15:13:20 GMT 2025","2310","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Oct 13 15:13:18 GMT 2025","Mon Oct 13 15:13:20 GMT 2025","2386","LMS system","Authentication","Authorization","","","Attempt to login with email: user.name@gmail.com",""
"passed","Mon Oct 13 15:13:17 GMT 2025","Mon Oct 13 15:13:19 GMT 2025","2041","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Oct 13 15:13:20 GMT 2025","Mon Oct 13 15:13:20 GMT 2025","10","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Mon Oct 13 15:13:15 GMT 2025","Mon Oct 13 15:13:17 GMT 2025","1755","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Oct 13 15:13:24 GMT 2025","Mon Oct 13 15:13:26 GMT 2025","2097","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Oct 13 15:13:20 GMT 2025","Mon Oct 13 15:13:20 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Mon Oct 13 15:13:20 GMT 2025","Mon Oct 13 15:13:24 GMT 2025","4205","LMS system","Courses","Courses","","","Create course",""
"passed","Mon Oct 13 15:13:20 GMT 2025","Mon Oct 13 15:13:20 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Mon Oct 13 15:13:18 GMT 2025","Mon Oct 13 15:13:22 GMT 2025","3984","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Oct 13 15:13:26 GMT 2025","Mon Oct 13 15:13:26 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Mon Oct 13 15:13:15 GMT 2025","Mon Oct 13 15:13:17 GMT 2025","2349","LMS system","Authentication","Authorization","","","Attempt to login with email: user.name@gmail.com",""
"passed","Mon Oct 13 15:13:23 GMT 2025","Mon Oct 13 15:13:27 GMT 2025","4033","LMS system","Courses","Courses","","","Edit course",""
